time,open,high,low,close,volume
2021-01-12 11:48:00,554.41,554.41,554.41,554.41,350
2021-01-12 11:47:00,554.43,554.43,554.32,554.32,628
2021-01-12 11:46:00,554.865,554.865,554.8091,554.8091,440
2021-01-12 11:45:00,555.96,555.96,554.81,555.03,2989
2021-01-12 11:44:00,555.9,556.01,555.9,556.01,480
2021-01-12 11:42:00,556.18,556.46,556.18,556.46,418
2021-01-12 11:41:00,557.0,557.0,556.5,556.7055,743
2021-01-12 11:40:00,557.03,557.035,557.03,557.035,542
2021-01-12 11:39:00,556.76,557.0419,556.76,557.0419,644
2021-01-12 11:38:00,557.025,557.025,557.025,557.025,578
2021-01-12 11:37:00,556.73,556.73,556.73,556.73,169
2021-01-12 11:36:00,556.52,556.52,556.52,556.52,127
2021-01-12 11:35:00,556.93,556.93,556.76,556.76,510
2021-01-12 11:33:00,556.785,556.785,556.49,556.49,705
2021-01-12 11:32:00,556.4,556.4,556.4,556.4,130
2021-01-12 11:31:00,556.87,556.87,556.49,556.49,379
2021-01-12 11:30:00,557.09,557.09,557.09,557.09,627
2021-01-12 11:29:00,556.94,556.94,556.94,556.94,414
2021-01-12 11:28:00,556.88,557.27,556.88,557.27,273
2021-01-12 11:27:00,556.955,556.955,556.955,556.955,223
2021-01-12 11:26:00,557.17,557.19,556.89,556.95,855
2021-01-12 11:25:00,557.415,557.415,556.91,556.93,2781
2021-01-12 11:21:00,557.445,557.445,557.445,557.445,328
2021-01-12 11:20:00,557.22,557.22,557.22,557.22,391
2021-01-12 11:18:00,558.2095,558.2095,557.89,557.89,513
2021-01-12 11:17:00,557.39,557.39,557.23,557.23,454
2021-01-12 11:15:00,557.41,557.525,557.41,557.525,342
2021-01-12 11:14:00,557.08,557.08,556.9,556.9,580
2021-01-12 11:12:00,557.19,557.19,557.19,557.19,685
2021-01-12 11:11:00,557.16,557.79,557.11,557.25,1783
2021-01-12 11:08:00,556.63,556.63,556.63,556.63,240
2021-01-12 11:07:00,557.03,557.03,556.53,556.53,636
2021-01-12 11:04:00,556.52,556.62,556.5,556.62,925
2021-01-12 11:03:00,556.755,556.755,556.755,556.755,211
2021-01-12 11:01:00,556.82,556.82,556.82,556.82,256
2021-01-12 11:00:00,557.49,557.49,557.1963,557.1963,891
2021-01-12 10:58:00,557.788,557.89,557.222,557.222,964
2021-01-12 10:57:00,557.59,557.59,557.59,557.59,139
2021-01-12 10:56:00,557.355,557.355,557.355,557.355,633
2021-01-12 10:54:00,557.2,557.2,556.58,556.58,1445
2021-01-12 10:53:00,557.25,557.25,557.25,557.25,138
2021-01-12 10:51:00,556.94,557.09,556.94,557.09,356
2021-01-12 10:50:00,556.5,557.24,556.5,556.94,1005
2021-01-12 10:49:00,556.07,556.505,555.88,556.295,2946
2021-01-12 10:48:00,555.9,555.9,555.9,555.9,175
2021-01-12 10:47:00,555.315,555.7,555.29,555.7,1270
2021-01-12 10:46:00,555.7,555.8,555.51,555.51,2604
2021-01-12 10:45:00,555.5,556.07,555.34,555.34,4745
2021-01-12 10:44:00,555.11,555.11,555.11,555.11,193
2021-01-12 10:43:00,555.12,555.12,555.12,555.12,363
2021-01-12 10:42:00,555.49,555.49,555.49,555.49,280
2021-01-12 10:41:00,555.8,555.8,555.485,555.485,865
2021-01-12 10:39:00,555.48,555.9076,555.48,555.9076,590
2021-01-12 10:38:00,555.7,555.7,555.7,555.7,132
2021-01-12 10:37:00,555.71,555.71,555.71,555.71,156
2021-01-12 10:35:00,556.565,556.565,556.565,556.565,221
2021-01-12 10:34:00,556.565,556.565,556.565,556.565,121
2021-01-12 10:32:00,557.38,557.48,557.38,557.48,926
2021-01-12 10:31:00,556.79,556.79,556.79,556.79,237
2021-01-12 10:30:00,557.58,557.58,557.03,557.46,1178
2021-01-12 10:27:00,557.48,557.48,557.48,557.48,1106
2021-01-12 10:25:00,557.345,557.345,557.345,557.345,156
2021-01-12 10:24:00,557.16,557.17,556.83,556.83,879
2021-01-12 10:21:00,557.43,557.43,557.43,557.43,396
2021-01-12 10:20:00,558.09,558.09,557.67,557.67,815
2021-01-12 10:19:00,558.56,558.56,558.09,558.09,395
2021-01-12 10:17:00,557.65,558.21,557.65,558.21,356
2021-01-12 10:16:00,556.51,557.52,556.51,557.16,1291
2021-01-12 10:15:00,557.38,557.38,556.73,557.2611,1133
2021-01-12 10:14:00,558.77,558.77,557.72,557.72,994
2021-01-12 10:12:00,559.0457,559.0457,558.49,558.49,711
2021-01-12 10:11:00,558.53,558.53,557.91,557.91,553
2021-01-12 10:09:00,557.355,557.355,557.355,557.355,182
2021-01-12 10:07:00,558.86,558.86,558.86,558.86,119
2021-01-12 10:04:00,558.91,559.09,558.52,558.52,1055
2021-01-12 10:03:00,559.84,560.16,558.59,558.59,1504
2021-01-12 10:02:00,559.82,559.82,558.94,559.79,1619
2021-01-12 10:00:00,559.63,560.76,559.63,560.755,701
2021-01-12 09:57:00,557.39,557.88,557.39,557.88,684
2021-01-12 09:56:00,557.59,557.59,557.59,557.59,235
2021-01-12 09:55:00,558.235,559.66,556.92,559.66,1436
2021-01-12 09:54:00,557.495,557.96,557.02,557.02,484
2021-01-12 09:53:00,557.0,557.0,557.0,557.0,165
2021-01-12 09:51:00,560.09,560.09,560.09,560.09,539
2021-01-12 09:50:00,558.97,558.97,558.97,558.97,321
2021-01-12 09:48:00,559.11,559.11,558.05,559.02,343
2021-01-12 09:46:00,561.2316,561.2316,561.2316,561.2316,599
2021-01-12 09:45:00,562.39,562.39,561.03,561.17,1502
2021-01-12 09:44:00,561.7593,561.99,561.7593,561.99,759
2021-01-12 09:42:00,561.18,561.18,561.18,561.18,399
2021-01-12 09:39:00,559.3701,561.06,559.3701,561.06,1492
2021-01-12 09:38:00,559.84,559.84,559.23,559.23,745
2021-01-12 09:36:00,558.7791,558.7791,558.255,558.255,467
2021-01-12 09:34:00,556.13,556.13,555.8,555.89,393
2021-01-12 09:33:00,554.33,555.27,554.33,555.17,412
2021-01-12 09:32:00,555.46,555.46,555.46,555.46,138
2021-01-12 09:31:00,552.34,554.44,552.34,554.37,7247
2021-01-11 16:03:00,557.04,557.04,557.04,557.04,3924
2021-01-11 16:02:00,557.04,557.04,557.04,557.04,1496
2021-01-11 16:01:00,557.04,557.04,557.04,557.04,2859
2021-01-11 16:00:00,557.45,557.68,557.08,557.68,6985
2021-01-11 15:59:00,557.51,557.55,557.12,557.48,4265
2021-01-11 15:58:00,557.5,557.62,557.3,557.62,2236
2021-01-11 15:57:00,557.27,557.62,557.08,557.62,2903
2021-01-11 15:56:00,557.0,557.69,557.0,557.495,2558
2021-01-11 15:55:00,558.17,558.17,557.435,557.435,3307
2021-01-11 15:54:00,557.935,557.935,557.7,557.89,1889
2021-01-11 15:53:00,557.78,557.885,557.69,557.69,854
2021-01-11 15:52:00,558.23,558.27,557.61,557.61,1409
2021-01-11 15:51:00,558.53,558.53,558.02,558.33,2028
2021-01-11 15:50:00,558.7699,558.7699,558.2,558.2,503
2021-01-11 15:49:00,558.21,558.43,558.21,558.43,432
2021-01-11 15:48:00,557.96,558.3,557.87,557.87,851
2021-01-11 15:47:00,557.32,557.83,557.32,557.83,1211
2021-01-11 15:46:00,557.58,557.58,556.93,557.06,2324
2021-01-11 15:45:00,557.36,557.36,557.36,557.36,663
2021-01-11 15:44:00,558.195,558.195,556.9,556.9,3783
2021-01-11 15:43:00,558.085,558.085,558.08,558.08,317
